23_em_52	2 p
200923-1556-110	\frac { P } { H } V
MfrDB1624	( 2 - a ) ^ { ( 3 - b ) ^ { c } }
formulaire021-equation058	f ( 0 ) = f ( 1 ) = x
MfrDB1325	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
KME2G3_14_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200926-1550-12	\int \limits _ { 0 } ^ { \pi } \cos ( \frac { \theta } { 2 } ) d \theta
200922-1017-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
200924-1331-267	\sum \cdots + d
KME2G3_5_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200922-1017-73	a ^ { b ^ { c ^ { d } } }
formulaire021-equation028	a + b + c
200924-1312-177	F - \tan c
65_jorge	x = r \cos \theta
formulaire020-equation042	a _ { 2 } a _ { 3 } = a _ { 4 }
formulaire026-equation048	1 6 = 2 ^ { 4 }
formulaire009-equation019	2 , 4 8 \times e
formulaire009-equation069	p ^ { 1 } = p
formulaire032-equation021	n = 1 5 0 0
2009213-137-68	\tan ( \frac { \pi } { 2 } ) = \infty
200926-131-190	\frac { i } { G } \sum \pi
MfrDB1768	a _ { 1 } + a _ { 2 }
formulaire003-equation073	2 ^ { 5 } + 2 + 1
TrainData2_16_sub_20	a + b + c + d + e
formulaire006-equation071	d g _ { \beta } = d g _ { \alpha }
MfrDB2292	3 x - 5 < - 2
2009212-952-111	N ^ { B + E }
KME2G3_6_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200923-1251-72	\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
2009212-952-80	e ^ { \int x ^ { 2 } d x }
TrainData2_14_sub_88	3 0 \times 2 9 x ^ { 2 8 }
KME2G3_27_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
TrainData2_25_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
formulaire001-equation074	l _ { i } ( x _ { i } ) = 1
200922-1017-144	\int \limits _ { \sqrt { L } } ^ { H } \frac { z } { z } d N
formulaire039-equation042	h ( a ) = h ( b ) = 0
MfrDB1288	E = E _ { k } + E _ { p }
formulaire007-equation034	u _ { 0 } = ( 0 , 0 )
formulaire019-equation056	k = i _ { 2 }
MfrDB2009	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
2009212-1031-13	\int \limits _ { z o } ^ { n } p - B d d
MfrDB0237	e ^ { i \pi } + 1 = 0
200925-1126-99	( q ( i ) ) - V _ { w } < \Delta
formulaire007-equation045	1 9 2 - 1 6 6 \neq 1 2
formulaire018-equation006	r = \alpha ( \theta )
200922-947-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
200924-1312-29	q _ { a } ^ { d + I } ( \pi )
200923-1556-7	\sum \limits _ { m } f ( m + 3 )
200923-1254-173	\sqrt { - t - o + h }
200924-1312-257	\sin ^ { p } P
200922-947-209	k - 7 . 9 \geq \sum 7
formulaire019-equation047	d t = d t _ { 0 }
200923-1254-72	\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
TrainData2_22_sub_88	3 0 \times 2 9 x ^ { 2 8 }
KME2G3_3_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200924-1331-154	\cdots - g
200925-1126-157	\frac { H - [ x ] } { I ^ { G } ( N ) }
MfrDB0072	a + b = b + a
formulaire026-equation037	q = k _ { i } - k _ { d }
MfrDB2116	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
200924-1331-276	t ^ { v + E }
2009213-139-161	\frac { - l + k } { 3 }
MfrDB2057	f ( x ) = x ^ { n }
2009213-137-130	\sum \limits _ { C > h } E
TrainData2_15_sub_88	3 0 \times 2 9 x ^ { 2 8 }
formulaire010-equation041	f ( e ^ { d } ) = ( f ( e ) ) ^ { d }
200923-1556-51	\frac { H } { M }
KME2G3_24_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
MfrDB1495	E = E _ { k } + E _ { p }
200926-131-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
MfrDB1891	\frac { x ^ { 4 } } { 2 ^ { 3 } } - ( \frac { 2 } { x } ) ^ { - 4 }
2009213-137-29	\frac { 6 - \beta } { N }
formulaire004-equation051	r = \frac { b } { 1 - a }
2009213-137-85	\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } }
formulaire010-equation063	( X ^ { 3 } - 1 ) ^ { 2 } = 2
90_herbert	y = r \sin \theta
MfrDB0021	\frac { 1 + 2 } { 3 + 4 }
formulaire029-equation034	u _ { 5 } = ( 0 , 2 )
formulaire026-equation054	f ( 1 ) = m _ { 0 }
200924-1331-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
MfrDB2562	x + y = z
TrainData2_11_sub_9	\sqrt { b ^ { 2 } - 4 a c }
MfrDB3340	v = v _ { 0 } t - g t ^ { 2 }
200923-131-67	\tan ( \frac { \pi } { 4 } ) = 1
formulaire012-equation048	6 \times 6 = 4 \times 9
formulaire024-equation003	a \neq - 1
200923-131-151	\frac { G } { f P }
formulaire006-equation059	m ( n - 1 )
formulaire035-equation058	f _ { 0 } ( x ) = x
MfrDB0097	( - 1 ) ^ { \frac { p - 1 } { 2 } } = 1
TrainData2_24_sub_9	\sqrt { b ^ { 2 } - 4 a c }
MfrDB3545	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire036-equation029	( 1 , i , j , k )
200923-1254-336	\int \limits _ { H } ^ { v } - m d z
200923-1553-14	a + \sqrt { \frac { b + c } { d + f } }
200926-1550-14	a + \sqrt { \frac { b + c } { d + f } }
MfrDB1710	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
TrainData2_16_sub_88	3 0 \times 2 9 x ^ { 2 8 }
formulaire036-equation027	\phi ( a , b , 0 ) = a + b
200923-1254-249	m + \sum z
200923-131-56	2 \alpha + 3 \sqrt { \beta }
MfrDB1634	f ( x ) = ( x - 1 ) ^ { p } \cdot x
MfrDB2184	2 x + 3 y = 2 6
formulaire029-equation028	( \sqrt { 5 } ) ^ { 3 } + ( \sqrt { 2 } ) ^ { 3 }
MfrDB1973	E = E _ { k } + E _ { p }
formulaire029-equation043	4 \times 1 0 ^ { 2 6 }
formulaire014-equation054	w _ { n } = f _ { n }
200922-1017-80	e ^ { \int x ^ { 2 } d x }
200924-1312-67	\tan ( \frac { \pi } { 4 } ) = 1
KME2G3_0_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200926-131-151	\frac { N + c } { w }
200922-947-11	\frac { S } { G } \sum P
200922-1017-164	\frac { A } { v ^ { g } }
2009212-952-101	\cos ^ { E } 2 . 6
formulaire002-equation062	d ( 5 , 3 ) = 5
MfrDB0030	\frac { \sqrt { 2 1 } - \sqrt { 5 } } { \sqrt { 7 } }
200923-1556-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
200922-949-235	\sum \limits _ { P = p } ^ { \sum 1 } k
2009220-1327-7	\sum \limits _ { m } f ( m + 3 )
MfrDB3324	a _ { n } = a _ { 1 } + ( n - 1 ) d
200922-949-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
formulaire010-equation057	p = n \times m
formulaire030-equation069	2 ^ { i } = 3 ^ { j }
2009213-139-11	[ \sum h ] < \sum b + n
200923-131-236	M + \frac { i } { d }
MfrDB3199	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
formulaire029-equation054	h = - r
65_caue	x = r \cos \theta
MfrDB2206	x ^ { 2 } - x - 6 < 0
2009213-139-15	\sum \limits _ { n \geq w } j
MfrDB3086	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
KME1G3_9_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
200922-1017-72	\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
formulaire025-equation049	w c = v b
formulaire008-equation008	( 2 - 1 - 1 )
2009212-952-68	\tan ( \frac { \pi } { 2 } ) = \infty
formulaire027-equation051	\cos ^ { 2 } \theta _ { 1 }
MfrDB1726	v = v _ { 0 } t - g t ^ { 2 }
106_alfonso	y ^ { 4 } + y + 1 = 0
MfrDB2437	E = E _ { k } + E _ { p }
73_hirata	| \frac { a x _ { 0 } + b y _ { 0 } + c } { \sqrt { a ^ { 2 } + b ^ { 2 } } } |
TrainData2_0_sub_20	a + b + c + d + e
MfrDB1578	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
MfrDB1565	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
formulaire020-equation067	a = 0 , 8 4
formulaire007-equation074	u _ { n } = o ( v _ { n } )
MfrDB3258	A ( x ) = \frac { 1 } { x } + \frac { 1 } { x ^ { 2 } } + B ( x )
MfrDB2835	x < \frac { c - b } { a }
MfrDB2424	\int \limits _ { a } ^ { a } f ( x ) d x = 0
formulaire026-equation028	n = \frac { f } { d }
2009220-1327-68	\tan ( \frac { \pi } { 2 } ) = \infty
200926-1617-198	\sum \limits _ { N \geq m } Y
formulaire031-equation054	k = n + m
200922-1017-37	1 3 + \pi r ^ { 2 }
90_edwin	y = r \sin \theta
MfrDB1689	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
KME2G3_24_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200922-949-119	- \sum \limits _ { 8 \geq d } \sqrt { x }
200926-1550-5	I ^ { C } < z
200926-131-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
formulaire002-equation060	( 1 3 9 - 5 2 ) / 1 7 2 \leq 1
200926-131-14	a + \sqrt { \frac { b + c } { d + f } }
MfrDB2914	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
formulaire014-equation051	n \sin \alpha
MfrDB1249	3 x - 5 < - 2
65_Fabricio	x = r \cos \theta
TrainData2_14_sub_20	a + b + c + d + e
formulaire019-equation032	\pi - t
200923-1253-37	1 3 + \pi r ^ { 2 }
formulaire032-equation008	k ( x ) = g ( x )
MfrDB3373	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
MfrDB1784	V = a \cdot b \cdot c
formulaire005-equation057	z = f ( u ) + g ( v )
MfrDB2767	g ( 2 , 3 , 4 ) = 3 4 ^ { - 3 }
MfrDB2832	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
200923-1251-158	3 \sum \limits _ { k \geq \beta } B
200923-1253-73	a ^ { b ^ { c ^ { d } } }
MfrDB1413	1 + 1 3 - 7 = x
formulaire036-equation040	1 1 6 \pm ( 1 1 4 \div 1 9 6 ) - 1 9
MfrDB2806	a x + b < c
formulaire011-equation048	2 ^ { 4 } - 1
MfrDB2006	x ^ { 2 } - x - 6 < 0
formulaire030-equation037	o _ { i } = 0
200923-1254-228	\frac { v } { - n }
MfrDB3047	a _ { n } = a _ { 1 } + ( n - 1 ) d
formulaire030-equation016	k ^ { n + 1 } - 0
90_user0	y = r \sin \theta
KME2G3_21_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200923-1553-107	E \lambda - \sum I
formulaire013-equation033	f ( x ) = - x
MfrDB1651	\frac { 1 } { 2 } + 4 = \frac { 5 } { 2 }
200923-131-27	A ^ { C + R }
formulaire020-equation066	x ^ { 2 } + 3 x
formulaire019-equation051	x _ { i 2 }
MfrDB3411	\frac { x ^ { 4 } } { 2 ^ { 3 } } - ( \frac { 2 } { x } ) ^ { - 4 }
formulaire036-equation026	f ( x + r ) = f ( x )
formulaire019-equation027	r ( l ) = \infty
TrainData2_14_sub_9	\sqrt { b ^ { 2 } - 4 a c }
MfrDB3257	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
MfrDB1549	\frac { x ^ { 4 } } { 2 ^ { 3 } } - ( \frac { 2 } { x } ) ^ { - 4 }
formulaire034-equation035	1 1 7 \pm 8 5 \div 1 0 9
formulaire017-equation056	x = 3 i
formulaire026-equation017	f ( k _ { 1 } ) ( h _ { 2 } ) = h _ { 2 }
MfrDB3905	\frac { x ^ { 4 } } { 2 ^ { 3 } } - ( \frac { 2 } { x } ) ^ { - 4 }
MfrDB3061	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire021-equation047	( f _ { 1 } , \ldots , f _ { p } )
2009212-952-38	\frac { 4 } { 3 } \pi r ^ { 3 }
MfrDB1040	a + b i = x
MfrDB0722	e ^ { i \pi }
formulaire001-equation052	p = \frac { 1 } { \theta + 1 }
200922-1017-135	- h - \frac { E } { x }
200922-947-144	\frac { h + 8 } { P - \phi }
200926-1617-215	- i
formulaire002-equation014	q = - e
KME2G3_19_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200923-1556-60	\frac { \beta + \gamma } { \theta }
MfrDB2121	\int \limits _ { a } ^ { a } f ( x ) d x = 0
2009213-137-72	\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
MfrDB2204	a x + b < c
formulaire011-equation047	Y = X ^ { 2 }
MfrDB0534	2 + 2 = x
formulaire026-equation074	g ( n , v ) = 0
90_jorge	y = r \sin \theta
MfrDB2396	( y - 3 ) ( y + 3 ) + ( y + 3 ) = 0
formulaire020-equation038	i = i + 1
formulaire009-equation054	q _ { n - 1 } = a _ { n }
formulaire015-equation050	4 6 \pm 1 7 1 + 1 9 0
formulaire002-equation064	p ^ { a } = p
formulaire031-equation055	8 6 \pm 1 7 9 + 1 7 3
MfrDB2210	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
200923-131-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
TrainData2_23_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
formulaire013-equation008	x \leq y
MfrDB1801	\frac { 2 ^ { 5 } } { 3 + 1 }
MfrDB1800	a _ { 1 } + a _ { 2 }
formulaire016-equation005	9 1 / 1 9 0 \geq 0
formulaire005-equation035	1 0 + 6 7 \leq 7 7
200923-131-134	\sum 4 - \int E d V
200925-1126-200	\int \sin ^ { f } i d R _ { H }
200926-1617-43	\frac { \pi r ^ { 2 } h } { 3 }
200924-1331-73	\sqrt { \phi ( w ) } ^ { s + B } q _ { u }
200926-131-85	\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } }
formulaire030-equation002	( s , x , y , z )
200926-1550-114	\frac { i + h } { j ^ { \lambda } }
2009213-139-148	\frac { y } { T X }
formulaire006-equation049	x \times ( - \infty )
200926-1617-237	- j + \sqrt { z }
MfrDB1457	\log 5 + \log 4 x = 2
200925-1126-67	\tan ( \frac { \pi } { 4 } ) = 1
formulaire014-equation058	( 1 + \frac { \theta _ { 0 } ^ { 2 } } { 1 6 } )
200922-949-37	1 3 + \pi r ^ { 2 }
200922-949-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
TrainData2_26_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
200923-1251-69	3 . 6 \sum t + P - A
MfrDB1231	\frac { 2 ^ { 5 } } { 3 + 1 }
formulaire006-equation073	( X - 1 ) \times c
200926-1550-43	\frac { \pi r ^ { 2 } h } { 3 }
200924-1331-94	\frac { B } { c - 0 }
MfrDB3311	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
formulaire011-equation028	\frac { 7 } { 1 0 }
formulaire022-equation019	( \pi _ { 1 } , \ldots , \pi _ { g } )
MfrDB0011	s = \frac { 1 } { 2 } a t ^ { 2 }
formulaire006-equation068	y = \frac { 1 } { x }
200925-1126-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
MfrDB2090	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
200923-131-45	\frac { B } { n t }
200923-1253-275	\sum \limits _ { u \geq c } G
formulaire035-equation018	y = a \times x
200922-949-104	\frac { v + 1 } { - h }
200925-1126-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
formulaire007-equation061	X _ { n } = i
formulaire027-equation003	1 0 ^ { 2 0 0 }
KME2G3_11_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200926-131-234	F < \infty
formulaire019-equation069	x ( t _ { f } ) = 0
200923-131-248	T ^ { d + v } [ \mu ]
65_mijail	x = r \cos \theta
MfrDB3067	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
200924-1331-37	1 3 + \pi r ^ { 2 }
formulaire010-equation051	f ( x ) = x ^ { - 3 }
MfrDB1988	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
formulaire002-equation021	y _ { i } = f ( x _ { i } )
formulaire029-equation031	a = 3
200923-1253-104	- \frac { Y } { t } B
formulaire026-equation062	j ^ { k } u
200923-1254-37	1 3 + \pi r ^ { 2 }
106_user0	y ^ { 4 } + y + 1 = 0
formulaire015-equation061	x ^ { \frac { 1 } { 2 } ( 1 + \frac { 1 } { 2 ^ { 2 } } ) }
TrainData2_10_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
KME2G3_12_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
formulaire030-equation006	\gamma = \frac { 7 } { 5 }
200923-1253-109	\sqrt { R } ^ { b + l } ( \sigma )
MfrDB3509	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
formulaire028-equation071	f ( x ) = \sqrt { x }
KME2G3_17_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
TrainData2_18_sub_88	3 0 \times 2 9 x ^ { 2 8 }
90_mijail	y = r \sin \theta
MfrDB2217	E = m c ^ { 2 }
MfrDB1876	v = v _ { 0 } t - g t ^ { 2 }
MfrDB1957	\int \cos t d t = \sin t
65_maira	x = r \cos \theta
MfrDB3499	5 0 ! \cdot n = 4 8 !
TrainData2_22_sub_20	a + b + c + d + e
MfrDB2503	2 ^ { x + 1 } - 2 x = 1 6
formulaire033-equation042	t _ { 3 } = - t _ { 0 }
formulaire039-equation063	( x ^ { 2 } + 1 ) \sin ( x )
formulaire035-equation016	x _ { 1 } = 1
formulaire038-equation009	f ( s t ) = f ( t s )
formulaire005-equation060	3 2 \pm 1 2 \times 1 5
TrainData2_7_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
MfrDB0057	| \frac { f ( h ) - f ( 0 ) } { h } | = | h \cdot \sin \frac { 1 } { h } |
formulaire026-equation036	( x + 1 ) ^ { 2 }
MfrDB1632	k ^ { 2 } \geq \sqrt { p + 3 }
2009210-947-235	w a \leq \sum S
formulaire029-equation014	v ( x ) = \infty
TrainData2_7_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
KME2G3_9_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
formulaire029-equation066	f ( z ) = ( 1 + z ^ { 2 } ) ^ { - 1 }
formulaire012-equation014	u _ { 1 } = v _ { 1 }
formulaire010-equation049	f _ { a , b , c } ( b ) = 0
formulaire006-equation004	2 x _ { m a x }
formulaire037-equation014	1 - q ^ { k }
MfrDB2897	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
KME2G3_24_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
TrainData2_22_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
KME1G3_10_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
MfrDB1596	E = E _ { k } + E _ { p }
TrainData1_3_sub_5	e ^ { i \pi } + 1 = 0
MfrDB2350	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
formulaire005-equation018	\frac { 1 } { 5 0 0 }
200923-1553-154	( i - N ) ^ { f + [ P ] }
formulaire037-equation005	1 \times 9 7 \geq 9 6
MfrDB3521	a _ { n } = a _ { 1 } + ( n - 1 ) d
MfrDB2844	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire016-equation061	\alpha b + \beta = 0
formulaire020-equation028	f ( a _ { 1 } ) \leq f ( a _ { 2 } )
MfrDB1492	v = v _ { 0 } t - g t ^ { 2 }
200926-1550-80	e ^ { \int x ^ { 2 } d x }
TrainData2_6_sub_63	\frac { 1 } { a } F ( a x + b ) + C
KME1G3_1_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
formulaire033-equation015	1 - 3 9 \neq 4 6
200923-131-38	\frac { 4 } { 3 } \pi r ^ { 3 }
KME1G3_3_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
KME1G3_4_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
2009220-1327-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
formulaire019-equation009	p ^ { \beta - \alpha }
formulaire003-equation022	q = 2 ^ { n }
2009220-1327-37	1 3 + \pi r ^ { 2 }
MfrDB0068	| a + b | \leq | a | + | b |
MfrDB2607	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
formulaire009-equation013	( x - 3 ) ^ { 2 } = 4
MfrDB0112	\sqrt { \frac { \sqrt { 2 } + \sqrt { 3 } } { \sqrt { 5 } - x } }
formulaire035-equation049	( \gamma _ { x } ( t ) , \gamma _ { y } ( t ) )
108_Nina	a ^ { x } a ^ { y } = a ^ { x + y }
formulaire022-equation068	a _ { i } + b _ { i }
formulaire007-equation071	4 ^ { 2 } = 2 ^ { 4 }
MfrDB2841	\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }
MfrDB1459	2 \log ( x - 3 ) = \log ( 5 - x )
200924-1312-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
MfrDB1021	V = \frac { E } { T }
65_rosario	x = r \cos \theta
formulaire028-equation068	r \rightarrow 0
MfrDB2494	\frac { 1 0 0 ! } { 9 7 ! \cdot 6 ! }
formulaire022-equation072	1 0 0 0 \times 1 , 1
MfrDB3264	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
MfrDB2273	a _ { 1 } + a _ { 2 }
formulaire015-equation072	( p , p + 2 , p + 4 )
TrainData2_23_sub_9	\sqrt { b ^ { 2 } - 4 a c }
200923-1251-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
formulaire039-equation048	y ( x ) = 0
200926-1617-102	\sum \limits _ { \beta > d } C + E
MfrDB2962	( 1 + x ) ^ { r } \geq 1 + r x
TrainData2_4_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
73_Fabricio	| \frac { a x _ { 0 } + b y _ { 0 } + c } { \sqrt { a ^ { 2 } + b ^ { 2 } } } |
200922-949-113	\frac { l + \sum h } { z ( b ) }
formulaire017-equation033	x ^ { 2 } + y ^ { 2 }
TrainData2_11_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
200924-1312-22	\frac { V } { \cdots + N }
200922-947-133	\cdots + \cos ^ { 8 } H
106_daniel	y ^ { 4 } + y + 1 = 0
MfrDB0110	g _ { 0 } = \sum \limits _ { n = 0 } ^ { p - 1 } ( \frac { n } { p } )
200923-1253-114	\sqrt { o } ^ { \frac { L } { c } } ( G )
MfrDB1604	f ( x , y ) = \frac { x } { y } + x y
200925-1126-151	\phi ^ { \frac { B } { 4 } } ( M H ) ^ { M }
200923-131-273	y = \sum \limits _ { e \geq R } e
200922-947-83	\int \limits _ { \sigma - n } ^ { H } 4 d g _ { j }
2009210-947-38	\frac { 4 } { 3 } \pi r ^ { 3 }
MfrDB1132	h = \frac { 1 } { 2 } g t ^ { 2 }
MfrDB3100	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire034-equation054	u ( x ) = a ( x + 1 )
formulaire033-equation009	q + s = n
formulaire038-equation053	n ^ { 2 } - 3 n + 3
200923-1556-68	\tan ( \frac { \pi } { 2 } ) = \infty
KME2G3_21_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
TrainData2_19_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
2009213-137-232	F ^ { \Delta + \alpha }
KME1G3_5_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
formulaire036-equation060	1 1 7 \pm 1 7 3 \times 3 3
2009213-137-38	\frac { 4 } { 3 } \pi r ^ { 3 }
KME2G3_20_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
TrainData2_18_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
MfrDB3011	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
KME2G3_8_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
TrainData2_10_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
MfrDB2959	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
200926-1617-243	\int \limits _ { L + w } ^ { 2 } c d \gamma
formulaire023-equation000	7 3 / 3 6 \neq - 2
200923-1553-258	[ \sqrt { \sin ^ { r } v } ^ { u + B E } ]
MfrDB2677	\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
formulaire010-equation014	x _ { 3 } = ( 2 , 2 )
KME2G3_28_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
formulaire017-equation054	\frac { 8 \pi r } { q ( r ) }
MfrDB2522	\int \cos t d t = \sin t
formulaire038-equation011	x = 6 1 - 5 = 5 6
MfrDB2947	\frac { 3 x + y } { z } = ( \frac { A - 1 } { x ^ { 2 } + y ^ { 2 } } )
formulaire010-equation004	\sqrt { z w } = \sqrt { z } \sqrt { w }
TrainData2_3_sub_88	3 0 \times 2 9 x ^ { 2 8 }
formulaire012-equation003	4 \pi d ^ { 2 }
TrainData1_6_sub_3	x ^ { 2 } + y ^ { 2 } < 1
formulaire029-equation044	a _ { i , n }
2009213-137-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
KME2G3_8_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
MfrDB3205	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
formulaire033-equation019	( x _ { 0 } , \pm y _ { 0 } )
formulaire024-equation049	x ( t ) , y ( t )
formulaire035-equation057	k _ { 1 } , k _ { 2 } , k _ { 3 } , k _ { 4 }
200926-1617-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
200925-1126-38	\frac { 4 } { 3 } \pi r ^ { 3 }
200925-1126-26	a + \frac { \sqrt { b + c } } { 2 }
KME2G3_18_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
formulaire010-equation046	+ \frac { \pi } { 3 }
